name,species,birth,sex,population,elo_rating,csi,dog_2sec,learning_acquisition,learning_reversal,weight,tarsus,bill,bill_and_head
alicante,carrion,2010,f,spain,160.476938,0.86567164,,,,,,,
baerchen,carrion,2008,m,austria,-254.00179,3.76420641,53.968254,40,70,565,5.53,4.06,10
bluepoint,carrion,2012,m,spain,-109.88001,3.0938721,,,,,,,
bluestripes,carrion,2012,m,spain,324.532238,2.43145249,,,,,,,
cabezon,carrion,2010,m,spain,63.9836742,2.41510665,,,,,,,
franz,carrion,2007,m,austria,-582.2552,3.21822782,11.4285714,,,525,5.52,3.6,9.18
gabi,carrion,2007,f,austria,116.241192,0.47726151,83.3333333,50,90,375,4.15,3.84,9.08
gertrude,hooded,2011,f,austria,-216.38941,2.18181818,60.3174603,,,390,4.25,3.35,8.95
greeno,carrion,2011,m,spain,-355.74842,0.63684504,,,,,,,
greenz,carrion,2011,m,spain,-1.4558536,0.70600693,,,,,,,
hugo,carrion,,m,austria,-156.82763,4.48663968,,,,,,,
ibiza,carrion,2010,f,spain,-53.240772,1.65444697,,,,,,,
klaus,carrion,2009,m,austria,371.871235,0.3687799,63.4920635,40,60,490,5.26,3.67,9.23
martinez,carrion,2010,m,spain,46.0292506,3.29069931,,,,,,,
munin,hybrid,2014,f,austria,-139.34055,0.10714286,,,,,,,
nino,hooded,2011,m,austria,0,0,65.2777778,90,190,,,,
olaf,hybrid,,f,austria,0,0,,,,475,5.24,3.44,8.99
peter,carrion,2007,f,austria,-266.5283,4.63674288,85.4166667,70,120,470,4.73,3.52,9.04
pobla,carrion,2010,f,spain,-108.00033,3.70612726,,,,,,,
redcross,carrion,2012,f,spain,-166.67317,2.63091858,,,,,,,
redpoint,carrion,2012,m,spain,77.0962933,3.33102779,,,,,,,
redstripes,carrion,2012,m,spain,43.2342684,2.43191258,,,,,,,
resa,carrion,2009,f,austria,80.7711255,0,,110,130,410,3.91,3.26,8.65
ruediger,carrion,,m,austria,0,0,,,,485,4.61,3.58,9.42
toeffel,carrion,2008,f,austria,-72.342961,9.95720272,66.6666667,120,160,470,4.95,3.13,8.525
valencia,carrion,2013,m,spain,23.7326207,0.40631868,,,,,,,
walter,carrion,2011,m,austria,216.389409,1.14448052,,100,160,550,5.3,3.64,9.51
white,carrion,2008,f,spain,241.758278,1.18966425,,,,,,,
whitecross,carrion,2012,m,spain,-46.987898,2.34488533,,,,,,,
whitepoint,carrion,2012,m,spain,58.6232884,1.04259192,,,,,,,
whitestripes,carrion,2012,f,spain,-156.65396,0.89768232,,,,,,,
willi,carrion,2012,m,austria,139.340552,0.10714286,,,,,,,
xufa,carrion,2013,f,spain,-102.11019,1.08097166,,,,,,,
