Nr,filename,individual,sequence_id,duration,length,original_individual,onset,offset,date,sequence_complete,comment,correction,Population,Sex,Age,Group,Groupsize 
1,p_hl20121230am,alicante,1,0.396822,1, Alicante1,643.662827,644.059649,30.12.12,y,,,Spain,female,2010,HL,4
2,p_hl20121230am,alicante,2,0.532101,1, Alicante2,1069.308208,1069.840309,30.12.12,y,,,Spain,female,2010,HL,4
3,p_hl20121230am,alicante,3,0.496027,1, Alicante3,1075.558149,1076.054176,30.12.12,y,,,Spain,female,2010,HL,4
4,p_hl20121230am,alicante,4,0.61327,1, Alicante4,1090.700504,1091.313774,30.12.12,y,,,Spain,female,2010,HL,4
5,p_hl20121230am,alicante,5,0.496027,1, Alicante5,1140.997654,1141.493681,30.12.12,y,,,Spain,female,2010,HL,4
6,p_hl20121230am,alicante,6,0.523083,1, Alicante6,1198.013717,1198.5368,30.12.12,y,,,Spain,female,2010,HL,4
7,p_hl20121230am,alicante,7,0.468971,1, Alicante7,1222.418251,1222.887222,30.12.12,y,,,Spain,female,2010,HL,4
8,p_hl20130106bf,alicante,1,0.58,3,Alicante1,220.877,221.457,06.01.13,n,"annotation off, do not use",,Spain,female,2010,HL,4
9,p_hl20130106bf,alicante,1,0.646,3,Alicante2,221.929,222.575,06.01.13,n,"annotation off, do not use",,Spain,female,2010,HL,4
10,p_hl20130106bf,alicante,1,0.498,3,Alicante3,223.234,223.732,06.01.13,n,"annotation off, do not use",,Spain,female,2010,HL,4
23,p_hl20130120bf,alicante,1,0.556617,3, Alicante1,822.111253,822.66787,20.01.13,y,,,Spain,female,2010,HL,4
24,p_hl20130120bf,alicante,1,0.594568,3, Alicante2,823.199187,823.793755,20.01.13,y,,,Spain,female,2010,HL,4
25,p_hl20130120bf,alicante,1,0.543967,3, Alicante3,824.375673,824.91964,20.01.13,y,,,Spain,female,2010,HL,4
26,p_hl20130127bf,alicante,1,0.520383,2, Alicante1,53.704718,54.225101,27.01.13,y,,,Spain,female,2010,HL,4
27,p_hl20130127bf,alicante,1,0.496996,2, Alicante2,54.599309,55.096305,27.01.13,y,,,Spain,female,2010,HL,4
28,p_hl20130128present,alicante,1,0.603545,1, Alicante1,79.472218,80.075763,28.01.13,y,,,Spain,female,2010,HL,4
29,p_hl20130128present,alicante,2,0.375177,3, Alicante2,166.129886,166.505063,28.01.13,y,,,Spain,female,2010,HL,4
30,p_hl20130128present,alicante,2,0.383333,3, Alicante3,166.676339,167.059672,28.01.13,y,,,Spain,female,2010,HL,4
31,p_hl20130128present,alicante,2,0.375177,3, Alicante4,167.239104,167.614281,28.01.13,y,,,Spain,female,2010,HL,4
32,p_hl20130128present,alicante,3,0.391489,3, Alicante5,204.283728,204.675217,28.01.13,y,,,Spain,female,2010,HL,4
33,p_hl20130128present,alicante,3,0.383333,3, Alicante6,204.862805,205.246138,28.01.13,y,,,Spain,female,2010,HL,4
34,p_hl20130128present,alicante,3,0.399644,3, Alicante7,205.450039,205.849683,28.01.13,y,,,Spain,female,2010,HL,4
35,p_hl20130128present,alicante,4,0.391489,1, Alicante10,358.832072,359.223561,28.01.13,y,,,Spain,female,2010,HL,4
36,p_hl20130128present,alicante,5,0.579077,1, Alicante11,369.198368,369.777445,28.01.13,y,,,Spain,female,2010,HL,4
37,p_hl20130128present,alicante,6,0.391489,1, Alicante12,413.966739,414.358228,28.01.13,y,,,Spain,female,2010,HL,4
38,p_hl20130128present,alicante,7,0.383333,2, Alicante13,467.339706,467.723039,28.01.13,y,,,Spain,female,2010,HL,4
39,p_hl20130128present,alicante,7,0.375176,2, Alicante14,467.910628,468.285804,28.01.13,y,,,Spain,female,2010,HL,4
40,p_hl20130129af,alicante,1,0.36492,1, Alicante1,190.812675,191.177595,29.01.13,y,,,Spain,female,2010,HL,4
41,p_hl20130129af,alicante,2,0.543325,2, Alicante2,530.958773,531.502098,29.01.13,y,,,Spain,female,2010,HL,4
42,p_hl20130129af,alicante,2,0.518998,2, Alicante3,532.061642,532.58064,29.01.13,y,,,Spain,female,2010,HL,4
43,p_hl20130130af,alicante,1,0.160528,6, Alicante1,159.766215,159.926743,30.01.13,y,,,Spain,female,2010,HL,4
44,p_hl20130130af,alicante,1,0.152502,6, Alicante2,160.023061,160.175563,30.01.13,y,,,Spain,female,2010,HL,4
45,p_hl20130130af,alicante,1,0.176582,6, Alicante3,160.287933,160.464515,30.01.13,y,,,Spain,female,2010,HL,4
46,p_hl20130130af,alicante,1,0.152503,6, Alicante4,160.568858,160.721361,30.01.13,y,,,Spain,female,2010,HL,4
47,p_hl20130130af,alicante,1,0.176582,6, Alicante5,160.85781,161.034392,30.01.13,y,,,Spain,female,2010,HL,4
48,p_hl20130130af,alicante,1,0.168555,6, Alicante6,161.146762,161.315317,30.01.13,y,,,Spain,female,2010,HL,4
49,p_hl20130131pf,alicante,1,0.535267,2, Alicante1,866.908081,867.443348,31.01.13,y,,,Spain,female,2010,HL,4
50,p_hl20130131pf,alicante,1,0.560163,2, Alicante2,868.065751,868.625914,31.01.13,y,,,Spain,female,2010,HL,4
51,p_hl20130131pf,alicante,2,0.535267,3, Alicante3,893.111256,893.646523,31.01.13,y,,,Spain,female,2010,HL,4
52,p_hl20130131pf,alicante,2,0.585059,3, Alicante4,894.231582,894.816641,31.01.13,y,,,Spain,female,2010,HL,4
53,p_hl20130131pf,alicante,2,0.547715,3, Alicante5,895.488836,896.036551,31.01.13,y,,,Spain,female,2010,HL,4
54,p_hl20130131pf,alicante,3,0.497922,2, Alicante6,942.368246,942.866168,31.01.13,y,,,Spain,female,2010,HL,4
